HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.KeyTerm,Input.Sentence,Input.System1,Input.System2,Input.Reverse,Input.SentenceNumber,Input.text1,Input.text2,Answer.Compare Quality of System Output.label,Answer.utterance,Approve,Reject
3APP19WN71K8GGRS49AGQ1WNX1X6GM,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,33CUSNVVNOIIEZ1R4S0R7M74PD988H,AW5CAVAQBYOLE,Submitted,Sun Feb 24 20:38:37 PST 2019,Sun Feb 24 20:44:33 PST 2019,Wed Feb 27 20:44:33 PST 2019,,,,356,0% (0/0),0% (0/0),0% (0/0),sweden,"Sweden -lrb- swedish : sverige -lsb- svrj -rsb- -lrb- listen -rrb- -rrb- , officially the kingdom of sweden -lrb- swedish : konungariket sverige -rrb- , is a scandinavian nordic country in northern europe .","Relation: is a, Related to: sverige -lsb- svrj -rrb- -rrb- , officially the kingdom of sweden -lrb- : konungariket<br/>Relation: is a, Related to: a scandinavian nordic country in northern europe","Relation: is, Related to: a scandinavian nordic country in northern europe",0,1,,,2 - System 2,CORRECT ANSWER,,
3APP19WN71K8GGRS49AGQ1WNX1X6GM,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3HRMW88U17WFHZYS3PXVJP2HQKM0MA,A1U2BPOD8PSBF4,Submitted,Sun Feb 24 20:36:48 PST 2019,Sun Feb 24 20:37:15 PST 2019,Wed Feb 27 20:37:15 PST 2019,,,,27,0% (0/0),0% (0/0),0% (0/0),sweden,"Sweden -lrb- swedish : sverige -lsb- svrj -rsb- -lrb- listen -rrb- -rrb- , officially the kingdom of sweden -lrb- swedish : konungariket sverige -rrb- , is a scandinavian nordic country in northern europe .","Relation: is a, Related to: sverige -lsb- svrj -rrb- -rrb- , officially the kingdom of sweden -lrb- : konungariket<br/>Relation: is a, Related to: a scandinavian nordic country in northern europe","Relation: is, Related to: a scandinavian nordic country in northern europe",0,1,,,1 - System 1,it;s verry good in the work,,
3APP19WN71K8GGRS49AGQ1WNX1X6GM,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3SLE99ER0OJG0T0LGUKEB8U9WSZBZM,A1HNR6OIRFCEHS,Submitted,Sun Feb 24 20:06:51 PST 2019,Sun Feb 24 20:09:16 PST 2019,Wed Feb 27 20:09:16 PST 2019,,,,145,0% (0/0),0% (0/0),0% (0/0),sweden,"Sweden -lrb- swedish : sverige -lsb- svrj -rsb- -lrb- listen -rrb- -rrb- , officially the kingdom of sweden -lrb- swedish : konungariket sverige -rrb- , is a scandinavian nordic country in northern europe .","Relation: is a, Related to: sverige -lsb- svrj -rrb- -rrb- , officially the kingdom of sweden -lrb- : konungariket<br/>Relation: is a, Related to: a scandinavian nordic country in northern europe","Relation: is, Related to: a scandinavian nordic country in northern europe",0,1,,,2 - System 2,because its plain and simple,,
3RDTX9JRTY7C56IP9D9Y4YAWOZM97X,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,34FNN24DCNFE6N97JYRIUFLFG2A5YP,A1HNR6OIRFCEHS,Submitted,Sun Feb 24 20:19:15 PST 2019,Sun Feb 24 20:19:35 PST 2019,Wed Feb 27 20:19:35 PST 2019,,,,20,0% (0/0),0% (0/0),0% (0/0),3rd,"Shortly after the song was written , the block between 3rd and lexington avenues was cleared to make way for one of manhattan 's tallest skyscrapers , the citigroup center .","Relation: was, Related to: cleared<br/>Relation: cleared, Related to: to make way for one of manhattan 's tallest skyscrapers<br/>Relation: make, Related to: way for one of manhattan 's tallest skyscrapers","Relation: is a, Related to: written , the block between 3rd cleared make way for one of manhattan 's tallest skyscrapers , the citigroup center<br/>Relation: is defined as, Related to: and",1,4,,,2 - System 2,much simpler when reading,,
3RDTX9JRTY7C56IP9D9Y4YAWOZM97X,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3IXEICO793PE85AREBEOE470XV3T64,A3V8LIMUUJWUTL,Submitted,Sun Feb 24 20:34:46 PST 2019,Sun Feb 24 20:35:28 PST 2019,Wed Feb 27 20:35:28 PST 2019,,,,42,0% (0/0),0% (0/0),0% (0/0),3rd,"Shortly after the song was written , the block between 3rd and lexington avenues was cleared to make way for one of manhattan 's tallest skyscrapers , the citigroup center .","Relation: was, Related to: cleared<br/>Relation: cleared, Related to: to make way for one of manhattan 's tallest skyscrapers<br/>Relation: make, Related to: way for one of manhattan 's tallest skyscrapers","Relation: is a, Related to: written , the block between 3rd cleared make way for one of manhattan 's tallest skyscrapers , the citigroup center<br/>Relation: is defined as, Related to: and",1,4,,,3 - Cannot tell: Both are equally good/bad,"I am unsure of the term, but both seem to match the sentence.",,
3RDTX9JRTY7C56IP9D9Y4YAWOZM97X,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3X4JMASXCNFJY8UVC07M59RNELI0BL,A3EL0EEIRKNWZW,Submitted,Sun Feb 24 20:34:39 PST 2019,Sun Feb 24 20:35:12 PST 2019,Wed Feb 27 20:35:12 PST 2019,,,,33,0% (0/0),0% (0/0),0% (0/0),3rd,"Shortly after the song was written , the block between 3rd and lexington avenues was cleared to make way for one of manhattan 's tallest skyscrapers , the citigroup center .","Relation: was, Related to: cleared<br/>Relation: cleared, Related to: to make way for one of manhattan 's tallest skyscrapers<br/>Relation: make, Related to: way for one of manhattan 's tallest skyscrapers","Relation: is a, Related to: written , the block between 3rd cleared make way for one of manhattan 's tallest skyscrapers , the citigroup center<br/>Relation: is defined as, Related to: and",1,4,,,2 - System 2,same as definition given,,
38B7Q9C28GBT164KQ346YKA0TO296Y,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3EICBYG64529AJNNC8DNYYC1VFNJCH,A1S88VQY8G8CNC,Submitted,Sun Feb 24 20:28:49 PST 2019,Sun Feb 24 20:30:59 PST 2019,Wed Feb 27 20:30:59 PST 2019,,,,130,0% (0/0),0% (0/0),0% (0/0),coven,"== neopaganism == in wicca and other similar forms of modern neopagan witchcraft , such as stregheria and feri , a coven is a gathering or community of witches , much like a congregation in christian parlance .","Relation: is, Related to: a gathering or community of witches , much like a congregation in christian parlance","Relation: is defined as, Related to: neopaganism == similar<br/>Relation: is part of, Related to: in modern neopagan<br/>Relation: is a, Related to: a gathering or community of witches , much like a congregation in christian parlance",1,3,,,2 - System 2,"although system 1 is fine, system 2 has a few more details.",,
38B7Q9C28GBT164KQ346YKA0TO296Y,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3L0KT67Y8FMFCP7IVU4QNQV7UMHYSJ,A3F9N2P4NUUR7S,Submitted,Sun Feb 24 20:24:50 PST 2019,Sun Feb 24 20:28:50 PST 2019,Wed Feb 27 20:28:50 PST 2019,,,,240,0% (0/0),0% (0/0),0% (0/0),coven,"== neopaganism == in wicca and other similar forms of modern neopagan witchcraft , such as stregheria and feri , a coven is a gathering or community of witches , much like a congregation in christian parlance .","Relation: is, Related to: a gathering or community of witches , much like a congregation in christian parlance","Relation: is defined as, Related to: neopaganism == similar<br/>Relation: is part of, Related to: in modern neopagan<br/>Relation: is a, Related to: a gathering or community of witches , much like a congregation in christian parlance",1,3,,,1 - System 1,Its sounds better than other,,
38B7Q9C28GBT164KQ346YKA0TO296Y,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,3WETL7AQWUEDQKCJUDYS4LP271G53K,A3EL0EEIRKNWZW,Submitted,Sun Feb 24 20:38:20 PST 2019,Sun Feb 24 20:39:14 PST 2019,Wed Feb 27 20:39:14 PST 2019,,,,54,0% (0/0),0% (0/0),0% (0/0),coven,"== neopaganism == in wicca and other similar forms of modern neopagan witchcraft , such as stregheria and feri , a coven is a gathering or community of witches , much like a congregation in christian parlance .","Relation: is, Related to: a gathering or community of witches , much like a congregation in christian parlance","Relation: is defined as, Related to: neopaganism == similar<br/>Relation: is part of, Related to: in modern neopagan<br/>Relation: is a, Related to: a gathering or community of witches , much like a congregation in christian parlance",1,3,,,2 - System 2,same as definition given,,
3MYASTQBG7HYEE0LHSN6QLAHKATQDT,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 20:06:09 PST 2019,3,BatchId:3544162;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 20:06:09 PST 2019,,,39PAAFCODN6ZNVPSFJMWQWNZEOUVTX,AVZOGPWNTUPC4,Submitted,Sun Feb 24 20:37:11 PST 2019,Sun Feb 24 20:37:33 PST 2019,Wed Feb 27 20:37:33 PST 2019,,,,22,0% (0/0),0% (0/0),0% (0/0),explorer,"In human history , its most dramatic rise was during the age of discovery when european explorers sailed and charted much of the rest of the world for a variety of reasons .","Relation: is defined as, Related to: its of discovery when european explorers sailed and much rest world for a variety of reasons<br/>Relation: is a, Related to: during age","Relation: charted, Related to: much of the rest of the world for a variety of reasons",0,3,,,1 - System 1,more complete,,
