KeyTerm,Sentence,System1,System2,Reverse,SentenceNumber,text1,text2
tyrannosaurus,"The species tyrannosaurus rex -lrb- rex meaning `` king '' in latin -rrb- , often called t. rex or colloquially t-rex , is one of the most well-represented of the large theropods .","Relation: is a, Related to: species<br/>Relation: is a, Related to: tyrannosaurus rex -lrb- rex meaning<br/>Relation: is a, Related to: one<br/>Relation: is defined as, Related to: `` '' latin large theropods<br/>Relation: is part of, Related to: king<br/>Relation: has the property, Related to: of the most well-represented of the","Relation: called, Related to: t. rex<br/>Relation: is, Related to: one of the most well - represented of the large theropods",0,2,,
alcor,"Alcor advocates for , researches , and performs cryonics , the preservation of human corpses and heads in liquid nitrogen after legal death , with hopes of restoring them to full health in the unlikely event some hypothetical new technology is developed in the future .","Relation: advocates, Related to: for , researches ,<br/>Relation: performs, Related to: cryonics","Relation: is used for, Related to: researches , and performs cryonics , the preservation of human corpses and heads in liquid nitrogen after legal death<br/>Relation: causes, Related to: with them full health in unlikely event<br/>Relation: causes, Related to: developed in the future",1,2,,
basil,"Basil -lrb- uk : , us : ; ocimum basilicum -rrb- , also called great basil or saint-joseph 's - wort , is a culinary herb of the family lamiaceae -lrb- mints -rrb- .","Relation: is a, Related to: uk : , us : ; ocimum basilicum -rrb- , also called great basil or saint-joseph 's - wort<br/>Relation: is a, Related to: a culinary herb of the family lamiaceae -lrb- mints -rrb-","Relation: called, Related to: great basil or saint - joseph 's - wort<br/>Relation: is, Related to: a culinary herb of the family",0,1,,
eel,"The term `` eel '' is also used for some other eel-shaped fish , such as electric eels -lrb- genus electrophorus -rrb- , spiny eels -lrb- family mastacembelidae -rrb- , and deep-sea spiny eels -lrb- family notacanthidae -rrb- .","Relation: is, Related to: for some other eel - shaped fish , such as electric eels -lrb- genus electrophorus -rrb- , spiny eels -lrb- family mastacembelidae -rrb- , and deep - sea spiny eels -lrb- family<br/>Relation: used, Related to: for some other eel - shaped fish , such as electric eels -lrb- genus electrophorus -rrb- , spiny eels -lrb- family mastacembelidae -rrb- , and deep - sea spiny eels -lrb- family<br/>Relation: shaped, Related to: fish , such as electric eels -lrb-","Relation: is a, Related to: also some<br/>Relation: is used for, Related to: other eel-shaped fish , such as electric eels -lrb- genus electrophorus -rrb- , spiny eels -lrb- family mastacembelidae -rrb- , and deep-sea spiny eels -lrb- family notacanthidae -rrb-",1,4,,
pollinating,"Pollinating agents are animals such as insects , birds , and bats ; water ; wind ; and even plants themselves , when self-pollination occurs within a closed flower .","Relation: are, Related to: animals such as insects , birds , and bats","Relation: is a, Related to: animals such as insects , birds , and bats ; water ; wind ; and even plants themselves , when self-pollination occurs within a closed flower",1,2,,
eskimo,"Eskimo -lrb- ess-kih-moh -rrb- or eskimos are the indigenous peoples who have traditionally inhabited the northern circumpolar region from eastern siberia -lrb- russia -rrb- to across alaska -lrb- of the united states -rrb- , canada , and greenland.the two main peoples known as `` eskimo '' are : -lrb- 1 -rrb- the alaskan iupiat peoples , greenlandic inuit , and the mass-grouping inuit peoples of canada , and -lrb- 2 -rrb- the yupik of eastern siberia and alaska .","Relation: is defined as, Related to: indigenous peoples who have traditionally inhabited the northern circumpolar region from eastern siberia -lrb- russia -rrb- to across alaska -lrb- of the united states -rrb- , canada , and greenland.the two main peoples known alaskan iupiat peoples , greenlandic inuit , and mass-grouping inuit peoples canada , and -lrb- 2 -rrb- yupik of eastern siberia and alaska<br/>Relation: is a, Related to: -lrb- 1 -rrb- the","Relation: are, Related to: the indigenous peoples who have traditionally inhabited the northern circumpolar region from eastern siberia -lrb- russia -rrb- to across alaska -lrb- of the united states -rrb- , canada , and greenland.the two main peoples<br/>Relation: are, Related to: : -lrb- 1 -rrb- the alaskan iupiat peoples , greenlandic inuit , and the mass - grouping inuit peoples of canada , and -lrb- 2",0,1,,
fiberglass,Fiberglass -lrb- us -rrb- or fibreglass -lrb- uk -rrb- is a common type of fiber-reinforced plastic using glass fiber .,"Relation: is, Related to: a common type of fiber - reinforced plastic using glass fiber","Relation: is a, Related to: -rrb- or fibreglass -lrb- uk -rrb-<br/>Relation: is a, Related to: a common type of fiber-reinforced plastic using glass fiber",1,1,,
good,"In contrast , free goods , such as air , are naturally in abundant supply and need no conscious effort to obtain them .","Relation: is a, Related to: such air<br/>Relation: is a, Related to: naturally in<br/>Relation: has the property, Related to: abundant supply and need no conscious effort to obtain them","Relation: are, Related to: naturally<br/>Relation: need, Related to: no conscious effort to obtain them",0,4,,
coloration,"Point coloration refers to animal coat coloration with a pale body and relatively darker extremities , i.e. the face , ears , feet , tail , and -lrb- in males -rrb- scrotum .","Relation: refers, Related to: to animal coat coloration with a pale body and relatively darker extremities , i.e. the face , ears , feet , tail , and -lrb- in males -rrb-<br/>Relation: animal, Related to: coat coloration","Relation: is defined as, Related to: animal coat coloration with a pale body and relatively darker , i.e. face , ears , feet , tail , and -lrb- in males -rrb- scrotum",1,1,,
pie,A pie is a baked dish which is usually made of a pastry dough casing that covers or completely contains a filling of various sweet or savoury ingredients .,"Relation: is, Related to: a baked dish which is usually made of a pastry dough casing","Relation: is a, Related to: baked dish which usually made of a pastry dough that covers or filling of various savoury<br/>Relation: has the property, Related to: completely contains a sweet or<br/>Relation: is defined as, Related to: ingredients",1,1,,
