HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.KeyTerm,Input.Sentence,Input.System1,Input.System2,Input.Reverse,Input.SentenceNumber,Input.text1,Input.text2,Answer.Compare Quality of System Output.label,Answer.utterance,Approve,Reject
3H1C3QRA01PZCJ4285XVCY3LG7RCE1,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,3K772S5NP9HSGBCBKZGXC9WP3YBEHD,A746183X8258H,Submitted,Sun Feb 24 16:18:12 PST 2019,Sun Feb 24 16:18:48 PST 2019,Wed Feb 27 16:18:48 PST 2019,,,,36,0% (0/0),0% (0/0),0% (0/0),fiberglass,Fiberglass -lrb- us -rrb- or fibreglass -lrb- uk -rrb- is a common type of fiber-reinforced plastic using glass fiber .,"Relation: is, Related to: a common type of fiber - reinforced plastic using glass fiber","Relation: is a, Related to: -rrb- or fibreglass -lrb- uk -rrb-<br/>Relation: is a, Related to: a common type of fiber-reinforced plastic using glass fiber",1,1,,,3 - Cannot tell: Both are equally good/bad,both defines same point,,
3H1C3QRA01PZCJ4285XVCY3LG7RCE1,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,3KYQYYSHYWDXGMKYSH03Q0B5F8MODG,A19YRGJXNK347A,Submitted,Sun Feb 24 16:08:15 PST 2019,Sun Feb 24 16:08:39 PST 2019,Wed Feb 27 16:08:39 PST 2019,,,,24,0% (0/0),0% (0/0),0% (0/0),fiberglass,Fiberglass -lrb- us -rrb- or fibreglass -lrb- uk -rrb- is a common type of fiber-reinforced plastic using glass fiber .,"Relation: is, Related to: a common type of fiber - reinforced plastic using glass fiber","Relation: is a, Related to: -rrb- or fibreglass -lrb- uk -rrb-<br/>Relation: is a, Related to: a common type of fiber-reinforced plastic using glass fiber",1,1,,,1 - System 1,less cluttered,,
3H1C3QRA01PZCJ4285XVCY3LG7RCE1,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,3YWRV122CT5GCW847V1W3EPTM3F8U9,A2SM5HTRU7G55L,Submitted,Sun Feb 24 16:15:33 PST 2019,Sun Feb 24 16:17:00 PST 2019,Wed Feb 27 16:17:00 PST 2019,,,,87,0% (0/0),0% (0/0),0% (0/0),fiberglass,Fiberglass -lrb- us -rrb- or fibreglass -lrb- uk -rrb- is a common type of fiber-reinforced plastic using glass fiber .,"Relation: is, Related to: a common type of fiber - reinforced plastic using glass fiber","Relation: is a, Related to: -rrb- or fibreglass -lrb- uk -rrb-<br/>Relation: is a, Related to: a common type of fiber-reinforced plastic using glass fiber",1,1,,,2 - System 2,It contains more information than the first one,,
3NSCTNUR2ZTBNLEBDQ81297K3B7A5W,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,379J5II41PMU27V1BKVV41PWKFJELJ,A19YRGJXNK347A,Submitted,Sun Feb 24 16:12:32 PST 2019,Sun Feb 24 16:12:55 PST 2019,Wed Feb 27 16:12:55 PST 2019,,,,23,0% (0/0),0% (0/0),0% (0/0),east,"== etymology == the word east comes from middle english est , from old english ast , which itself comes from the proto-germanic * aus-to - or * austra - `` east , toward the sunrise '' , from proto-indo-european * aus - `` to shine , '' or `` dawn '' .","Relation: is defined as, Related to: etymology word east comes from middle english est , from old english ast , which itself comes from the proto-germanic * aus-to - or * austra - `` east , toward the sunrise '' , from proto-indo-european * aus - `` , '' or `` dawn ''","Relation: comes, Related to: from middle english est",0,3,,,1 - System 1,more complete,,
3NSCTNUR2ZTBNLEBDQ81297K3B7A5W,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,3PMBY0YE289K47AEQWMA94YYZ9R9CQ,A3APKUC67F9IMW,Submitted,Sun Feb 24 16:22:33 PST 2019,Sun Feb 24 16:24:57 PST 2019,Wed Feb 27 16:24:57 PST 2019,,,,144,0% (0/0),0% (0/0),0% (0/0),east,"== etymology == the word east comes from middle english est , from old english ast , which itself comes from the proto-germanic * aus-to - or * austra - `` east , toward the sunrise '' , from proto-indo-european * aus - `` to shine , '' or `` dawn '' .","Relation: is defined as, Related to: etymology word east comes from middle english est , from old english ast , which itself comes from the proto-germanic * aus-to - or * austra - `` east , toward the sunrise '' , from proto-indo-european * aus - `` , '' or `` dawn ''","Relation: comes, Related to: from middle english est",0,3,,,1 - System 1,System 1 contains more content that's important to define the target term.,,
3NSCTNUR2ZTBNLEBDQ81297K3B7A5W,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,3YDTZAI2WYMZKYU4T41ZB04R9KG14Q,A746183X8258H,Submitted,Sun Feb 24 15:52:48 PST 2019,Sun Feb 24 15:53:26 PST 2019,Wed Feb 27 15:53:26 PST 2019,,,,38,0% (0/0),0% (0/0),0% (0/0),east,"== etymology == the word east comes from middle english est , from old english ast , which itself comes from the proto-germanic * aus-to - or * austra - `` east , toward the sunrise '' , from proto-indo-european * aus - `` to shine , '' or `` dawn '' .","Relation: is defined as, Related to: etymology word east comes from middle english est , from old english ast , which itself comes from the proto-germanic * aus-to - or * austra - `` east , toward the sunrise '' , from proto-indo-european * aus - `` , '' or `` dawn ''","Relation: comes, Related to: from middle english est",0,3,,,1 - System 1,system 1 brifely defined,,
3LEG2HW4UFTEKFCW6NSVI3FZGHTF2D,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,35DR22AR5EQMS3WT0JHNW4GM0Z5X3Z,AWKXNVQD12EHT,Submitted,Sun Feb 24 16:24:51 PST 2019,Sun Feb 24 16:25:29 PST 2019,Wed Feb 27 16:25:29 PST 2019,,,,38,0% (0/0),0% (0/0),0% (0/0),coastal,"Both the terms coast and coastal are often used to describe a geographic location or region ; for example , new zealand 's west coast , or the east and west coasts of the united states .","Relation: are, Related to: to describe a geographic location or region<br/>Relation: used, Related to: to describe a geographic location or region<br/>Relation: describe, Related to: a geographic location or region","Relation: is a, Related to: terms<br/>Relation: is a, Related to: often describe a geographic location or region ; for example , new zealand 's west coast , or the east and west coasts of the united states",1,4,,,3 - Cannot tell: Both are equally good/bad,they both explain the same thing.,,
3LEG2HW4UFTEKFCW6NSVI3FZGHTF2D,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,37XITHEISXFQ8760KDMW0PYS5VURCS,A19YRGJXNK347A,Submitted,Sun Feb 24 16:08:40 PST 2019,Sun Feb 24 16:09:21 PST 2019,Wed Feb 27 16:09:21 PST 2019,,,,41,0% (0/0),0% (0/0),0% (0/0),coastal,"Both the terms coast and coastal are often used to describe a geographic location or region ; for example , new zealand 's west coast , or the east and west coasts of the united states .","Relation: are, Related to: to describe a geographic location or region<br/>Relation: used, Related to: to describe a geographic location or region<br/>Relation: describe, Related to: a geographic location or region","Relation: is a, Related to: terms<br/>Relation: is a, Related to: often describe a geographic location or region ; for example , new zealand 's west coast , or the east and west coasts of the united states",1,4,,,2 - System 2,less cluttered,,
3LEG2HW4UFTEKFCW6NSVI3FZGHTF2D,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,38BQUHLA9X60KGQB5AZ69QYZOMFMOX,A746183X8258H,Submitted,Sun Feb 24 16:14:05 PST 2019,Sun Feb 24 16:15:11 PST 2019,Wed Feb 27 16:15:11 PST 2019,,,,66,0% (0/0),0% (0/0),0% (0/0),coastal,"Both the terms coast and coastal are often used to describe a geographic location or region ; for example , new zealand 's west coast , or the east and west coasts of the united states .","Relation: are, Related to: to describe a geographic location or region<br/>Relation: used, Related to: to describe a geographic location or region<br/>Relation: describe, Related to: a geographic location or region","Relation: is a, Related to: terms<br/>Relation: is a, Related to: often describe a geographic location or region ; for example , new zealand 's west coast , or the east and west coasts of the united states",1,4,,,2 - System 2,system 2 show more details,,
3RKHNXPHGW2YKDDCQITY4Z2W74TUKC,3X2H010HBR2UDWPNQAX5K8M73242R4,"Which is a better representation of the term, as defined by the sentence?","Given a Target Term and a sentence that defines it, compare the output of the two systems.","meaning, semantic, similarity, text, definition, representation",$0.07 ,Sun Feb 24 15:50:39 PST 2019,3,BatchId:3543993;OriginalHitTemplateId:928390905;,420,259200,Wed Feb 27 15:50:39 PST 2019,,,33L7PJKHCH41CJTF7QBMYI3R3P78TH,A2RPSSZR3RP51Z,Submitted,Sun Feb 24 16:11:58 PST 2019,Sun Feb 24 16:12:31 PST 2019,Wed Feb 27 16:12:31 PST 2019,,,,33,0% (0/0),0% (0/0),0% (0/0),ferrous,"In chemistry , ferrous -lrb- fe2 + -rrb- , indicates a divalent iron compound -lrb- +2 oxidation state -rrb- , as opposed to ferric , which indicates a trivalent iron compound -lrb- +3 oxidation state -rrb- .","Relation: is defined as, Related to: In chemistry compound<br/>Relation: is a, Related to: fe2<br/>Relation: is a, Related to: a divalent iron compound -lrb- +2 oxidation state -rrb- , as opposed to ferric , which indicates a trivalent iron<br/>Relation: is part of, Related to: -lrb- oxidation state -rrb-","Relation: indicates, Related to: a divalent iron compound -lrb- + 2 oxidation state -rrb-",0,1,,,2 - System 2,NICE,,
